"REGISTRATION","VALID_SINCE","VALID_UNTIL","AC_OPERATOR","AC_OWNER","AC_SUBTYPE","AC_LOGICAL_NO","AC_STATE","DRY_OPERATING_WGT","MAX_TAKEOFF_WGT","CARGO_CAPACITY","FUEL_CAPACITY","AVG_FUEL_CONSUMP","AC_INDEX","CREWSIZE_COCKPIT","CREWSIZE_CABIN","STD_VERSION","AP_RESTRICTION","AC_OWNER_NAME","AC_SUBTYPE_NAME","AC_CATEGORY","REMARK","FUEL_MEASURE_UNIT","AC_CALLSIGN","RADIO","NOISE","PHONE","SPECIAL_EQUIPMENT","ACARS","ALT_REG","RECORD_ID","LAST_UPDATE","LAST_UPDATE_USER_ID","STD_VERSION_ALT_1","STD_VERSION_ALT_2","STD_VERSION_ALT_3","STD_VERSION_ALT_4","ILS_EQUIPMENT","AUTOLAND","HOMEBASE"
"CACAT",01-JAN-14,01-OCT-19,"CA ","CA","CAT",0,"O",0,0,0,0,0,0,2,3,"STN","N","CA                            ","CAT                           ","J","-                                                                               ","kg ","","",,"","","","",25391,25-OCT-24,"iocltm","","","","","I","Y",""
"CACAU",01-JAN-14,01-OCT-19,"CA ","CA","CAU",0,"O",0,0,0,0,0,0,2,3,"STN","N","CA                            ","CAU                           ","J","-                                                                               ","kg ","","",,"","","","",25392,25-OCT-24,"iocltm","","","","","I","Y",""
"CACAV",01-JAN-14,01-OCT-19,"CA ","CA","CAV",0,"O",0,0,0,0,0,0,2,3,"STN","N","CA                            ","CAV                           ","J","-                                                                               ","kg ","","",,"","","","",25393,25-OCT-24,"iocltm","","","","","I","Y",""
"BHSQ",05-DEC-16,23-FEB-22,"KA ","KA","320",12,"R",44088,75500,0,0,0,300,0,0,"STN","N","KA                            ","320                           ","J","-                                                                               ","kg ","","",,"","","V","",267280,02-MAR-22,"netline","","","","","I","Y",""
"KA32M",01-JAN-12,31-DEC-13,"KA ","KA","32M",0,"O",0,0,0,0,0,310,0,0,"STN","N","KA                            ","32M                           ","J","-                                                                               ","kg ","","",,"","","","",25395,02-MAR-22,"netline","","","","","I","Y",""
"BLAI",30-NOV-14,31-DEC-14,"CX ","CX","33K",13,"R",124887,233000,0,0,0,70,0,0,"STN","N","CATHAY PACIFIC                ","33K                           ","J","39J/21W/191Y = 251  / TRNG FLT RESTRICTION DUE ADDITIONAL RENT FOR EXCESS CYCLES","kg ","","",,"","","S","",57420,02-MAR-22,"netline","","","","","I","Y",""
"CX74N",01-JAN-10,31-DEC-35,"CX ","CX","74N",0,"O",0,0,0,0,0,210,0,0,"STN","N","CX                            ","74N                           ","J","-                                                                               ","kg ","","",,"","","","",25397,02-MAR-22,"netline","","","","","I","Y",""
"CACA6",01-JAN-08,01-OCT-19,"CA ","CA","CA6",0,"O",0,0,0,0,0,0,2,3,"STN","N","CA                            ","CA6                           ","J","-                                                                               ","kg ","","",,"","","","",25398,25-OCT-24,"iocltm","","","","","I","Y",""
"BHSR",02-JAN-17,10-JAN-22,"KA ","KA","320",13,"R",44088,75500,0,0,0,300,0,0,"STN","N","KA                            ","320                           ","J","-                                                                               ","kg ","","",,"","","V","",267281,02-MAR-22,"netline","","","","","I","Y",""
"BHUR",27-JUL-17,31-AUG-18,"CX ","CX","7CF",3,"R",1,1,0,0,0,190,0,0,"STN","N","CX                            ","7CF                           ","J","-                                                                               ","kg ","","",,"","","S","",309080,02-MAR-22,"netline","","","","","I","Y",""
